amount_spent,visits,previous_coupons,issue_coupon
1116,10,5,No
2838,7,1,No
4575,7,4,Yes
6199,12,0,Yes
8506,6,0,Yes
5443,9,1,Yes
4806,3,2,Yes
6830,2,3,No
6224,5,2,Yes
8506,6,0,Yes
5104,9,2,Yes
3942,1,4,No
4758,16,0,Yes
7506,9,1,Yes
5049,16,1,Yes
3122,6,3,Yes
737,5,2,No
9747,11,4,Yes
3180,3,2,Yes
4298,12,2,Yes
9999,20,0,Yes
6653,15,0,Yes
2937,15,1,No
3180,3,2,Yes
1868,16,2,No
7109,7,2,Yes
2926,10,1,No
6919,11,1,Yes
4935,16,1,Yes
4211,18,2,Yes
6202,1,1,No
4078,9,0,Yes
1315,11,2,No
2977,4,4,No
3390,16,4,Yes
8908,7,2,Yes
4071,11,4,Yes
913,6,4,No
1835,1,3,No
4663,15,0,Yes
6035,4,4,Yes
8594,12,2,Yes
3752,1,2,No
4881,17,3,Yes
5639,1,1,No
306,4,5,No
7278,16,2,Yes
9832,20,1,Yes
4175,19,5,Yes
8331,8,1,Yes
3662,3,0,Yes
2273,6,2,No
3465,19,4,Yes
232,19,4,No
1273,9,3,No
2107,9,4,No
8137,15,4,Yes
6855,1,5,No
6831,12,2,Yes
9259,6,3,Yes
1962,3,4,No
3259,4,0,Yes
2506,2,5,No
6405,5,1,Yes
8435,15,0,Yes
1204,2,1,No
5283,1,5,No
2684,15,5,No
4755,15,2,Yes
1149,9,3,No
6374,5,1,Yes
3773,4,3,Yes
9191,16,5,Yes
6919,11,1,Yes
6579,9,1,Yes
6340,5,1,Yes
913,6,4,No
8670,20,5,Yes
5797,4,0,Yes
2273,6,2,No
1665,17,1,No
1957,13,4,No
7735,11,3,Yes
706,5,0,No
6946,6,2,Yes
6028,3,3,Yes
9298,11,0,Yes
3986,13,2,Yes
5503,14,2,Yes
6114,19,4,Yes
4372,13,2,Yes
2528,19,3,No
4202,1,4,No
1974,18,3,No
8661,4,3,Yes
3927,3,3,Yes
3991,4,2,Yes
6429,17,3,Yes
4283,1,2,No
6830,2,3,No
7302,14,5,Yes
176,9,2,No
7065,8,3,Yes
5636,4,3,Yes
8021,12,1,Yes
3231,10,3,Yes
491,8,5,No
5918,11,3,Yes
2216,13,5,No
9132,19,4,Yes
536,20,4,No
1221,8,3,No
6028,3,3,Yes
9546,7,2,Yes
4269,1,4,No
8725,9,4,Yes
530,3,0,No
6337,6,1,Yes
2109,5,5,No
2109,5,5,No
9937,10,1,Yes
9405,20,2,Yes
9968,1,2,No
6975,6,4,Yes
7115,6,4,Yes
2244,10,0,No
6367,20,3,Yes
8718,18,0,Yes
6643,12,0,Yes
8725,9,4,Yes
8917,16,0,Yes
2284,15,4,No
7961,12,1,Yes
6224,5,2,Yes
6118,18,0,Yes
7270,13,4,Yes
8328,14,4,Yes
2023,10,3,No
2440,3,5,No
306,4,5,No
3773,4,3,Yes
7032,13,4,Yes
6028,3,3,Yes
4266,20,5,Yes
1098,18,4,No
6518,10,5,Yes
9519,3,1,Yes
4744,3,3,Yes
8725,9,4,Yes
9628,12,2,Yes
4684,3,4,Yes
3390,16,4,Yes
8713,14,3,Yes
3541,8,1,Yes
412,10,4,No
2051,8,4,No
6138,9,4,Yes
9185,4,4,Yes
3368,2,5,No
9999,20,0,Yes
4441,4,1,Yes
186,3,1,No
8652,12,0,Yes
9726,10,0,Yes
4944,9,0,Yes
8741,14,2,Yes
9243,3,3,Yes
410,15,5,No
841,13,0,No
5183,11,2,Yes
7245,9,3,Yes
5501,4,4,Yes
3550,11,0,Yes
3942,1,4,No
5455,11,5,Yes
3821,3,0,Yes
4878,9,2,Yes
6367,20,3,Yes
459,19,4,No
9322,10,5,Yes
8918,18,3,Yes
5044,11,1,Yes
530,3,0,No
3972,6,3,Yes
7245,9,3,Yes
4298,12,2,Yes
3550,11,0,Yes
4741,20,4,Yes
5796,11,3,Yes
8156,3,1,Yes
8789,1,1,No
2619,1,2,No
2313,10,4,No
4995,7,5,Yes
6311,6,3,Yes
7961,12,1,Yes
7784,7,4,Yes
5034,4,3,Yes
2028,10,4,No
7379,13,2,Yes
8346,4,4,Yes
5588,14,4,Yes
8924,7,4,Yes
4513,16,5,Yes
7940,6,0,Yes
1622,12,3,No
3637,17,4,Yes
2514,14,3,No
6208,10,0,Yes
6212,1,1,No
2348,9,1,No
410,15,5,No
6916,19,2,Yes
6340,5,1,Yes
8328,14,4,Yes
9890,15,4,Yes
2107,9,4,No
8652,12,0,Yes
3404,12,2,Yes
8533,15,1,Yes
4995,7,5,Yes
8879,6,0,Yes
6195,15,5,Yes
9690,18,0,Yes
5924,5,3,Yes
9243,3,3,Yes
4666,8,4,Yes
4202,1,4,No
8223,20,2,Yes
6860,17,1,Yes
7115,6,4,Yes
8381,16,0,Yes
8021,12,1,Yes
4092,2,4,No
5183,11,2,Yes
4925,5,1,Yes
8435,15,0,Yes
6438,12,4,Yes
6467,20,4,Yes
2490,1,1,No
9747,11,4,Yes
4219,18,0,Yes
3122,6,3,Yes
2029,9,1,No
5283,1,5,No
6950,8,3,Yes
8664,17,4,Yes
8375,13,1,Yes
5425,6,4,Yes
2029,9,1,No
9312,16,0,Yes
6579,9,1,Yes
4663,15,0,Yes
7065,8,3,Yes
3490,6,3,Yes
176,9,2,No
4988,14,1,Yes
4544,2,0,No
2390,2,3,No
793,14,5,No
3368,2,5,No
3541,8,1,Yes
4513,16,5,Yes
6995,4,4,Yes
562,12,0,No
1594,8,0,No
5503,14,2,Yes
